V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:112 = Reset:91 + v_shifted:142 + acc: 61| threshold: 91 S:1 | nindex = 131 | v_prev = 150 | decay = 31129 
V:51 = Reset:91 + v_shifted:106 + acc: 36| threshold: 91 S:0 | nindex = 131 | v_prev = 112 | decay = 31129 
V:103 = Reset:0 + v_shifted:48 + acc: 55| threshold: 91 S:1 | nindex = 131 | v_prev = 51 | decay = 31129 
V:63 = Reset:91 + v_shifted:97 + acc: 57| threshold: 91 S:0 | nindex = 131 | v_prev = 103 | decay = 31129 
V:66 = Reset:0 + v_shifted:59 + acc: 7| threshold: 91 S:0 | nindex = 131 | v_prev = 63 | decay = 31129 
V:127 = Reset:0 + v_shifted:62 + acc: 65| threshold: 91 S:1 | nindex = 131 | v_prev = 66 | decay = 31129 
V:94 = Reset:91 + v_shifted:120 + acc: 65| threshold: 91 S:1 | nindex = 131 | v_prev = 127 | decay = 31129 
V:-55 = Reset:91 + v_shifted:89 + acc: -53| threshold: 91 S:0 | nindex = 131 | v_prev = 94 | decay = 31129 
V:-15 = Reset:0 + v_shifted:-53 + acc: 38| threshold: 91 S:0 | nindex = 131 | v_prev = -55 | decay = 31129 
V:149 = Reset:0 + v_shifted:-15 + acc: 164| threshold: 91 S:1 | nindex = 131 | v_prev = -15 | decay = 31129 
V:219 = Reset:91 + v_shifted:141 + acc: 169| threshold: 91 S:1 | nindex = 131 | v_prev = 149 | decay = 31129 
V:286 = Reset:91 + v_shifted:208 + acc: 169| threshold: 91 S:1 | nindex = 131 | v_prev = 219 | decay = 31129 
V:288 = Reset:91 + v_shifted:271 + acc: 108| threshold: 91 S:1 | nindex = 131 | v_prev = 286 | decay = 31129 
V:331 = Reset:91 + v_shifted:273 + acc: 149| threshold: 91 S:1 | nindex = 131 | v_prev = 288 | decay = 31129 
V:187 = Reset:91 + v_shifted:314 + acc: -36| threshold: 91 S:1 | nindex = 131 | v_prev = 331 | decay = 31129 
V:266 = Reset:91 + v_shifted:177 + acc: 180| threshold: 91 S:1 | nindex = 131 | v_prev = 187 | decay = 31129 
V:303 = Reset:91 + v_shifted:252 + acc: 142| threshold: 91 S:1 | nindex = 131 | v_prev = 266 | decay = 31129 
V:251 = Reset:91 + v_shifted:287 + acc: 55| threshold: 91 S:1 | nindex = 131 | v_prev = 303 | decay = 31129 
V:213 = Reset:91 + v_shifted:238 + acc: 66| threshold: 91 S:1 | nindex = 131 | v_prev = 251 | decay = 31129 
V:206 = Reset:91 + v_shifted:202 + acc: 95| threshold: 91 S:1 | nindex = 131 | v_prev = 213 | decay = 31129 
V:231 = Reset:91 + v_shifted:195 + acc: 127| threshold: 91 S:1 | nindex = 131 | v_prev = 206 | decay = 31129 
V:255 = Reset:91 + v_shifted:219 + acc: 127| threshold: 91 S:1 | nindex = 131 | v_prev = 231 | decay = 31129 
V:303 = Reset:91 + v_shifted:242 + acc: 152| threshold: 91 S:1 | nindex = 131 | v_prev = 255 | decay = 31129 
V:374 = Reset:91 + v_shifted:287 + acc: 178| threshold: 91 S:1 | nindex = 131 | v_prev = 303 | decay = 31129 
V:457 = Reset:91 + v_shifted:355 + acc: 193| threshold: 91 S:1 | nindex = 131 | v_prev = 374 | decay = 31129 
V:521 = Reset:91 + v_shifted:434 + acc: 178| threshold: 91 S:1 | nindex = 131 | v_prev = 457 | decay = 31129 
V:553 = Reset:91 + v_shifted:494 + acc: 150| threshold: 91 S:1 | nindex = 131 | v_prev = 521 | decay = 31129 
V:584 = Reset:91 + v_shifted:525 + acc: 150| threshold: 91 S:1 | nindex = 131 | v_prev = 553 | decay = 31129 
V:613 = Reset:91 + v_shifted:554 + acc: 150| threshold: 91 S:1 | nindex = 131 | v_prev = 584 | decay = 31129 
V:641 = Reset:91 + v_shifted:582 + acc: 150| threshold: 91 S:1 | nindex = 131 | v_prev = 613 | decay = 31129 
V:667 = Reset:91 + v_shifted:608 + acc: 150| threshold: 91 S:1 | nindex = 131 | v_prev = 641 | decay = 31129 
V:692 = Reset:91 + v_shifted:633 + acc: 150| threshold: 91 S:1 | nindex = 131 | v_prev = 667 | decay = 31129 
V:690 = Reset:91 + v_shifted:657 + acc: 124| threshold: 91 S:1 | nindex = 131 | v_prev = 692 | decay = 31129 
V:610 = Reset:91 + v_shifted:655 + acc: 46| threshold: 91 S:1 | nindex = 131 | v_prev = 690 | decay = 31129 
V:534 = Reset:91 + v_shifted:579 + acc: 46| threshold: 91 S:1 | nindex = 131 | v_prev = 610 | decay = 31129 
V:462 = Reset:91 + v_shifted:507 + acc: 46| threshold: 91 S:1 | nindex = 131 | v_prev = 534 | decay = 31129 
V:393 = Reset:91 + v_shifted:438 + acc: 46| threshold: 91 S:1 | nindex = 131 | v_prev = 462 | decay = 31129 
V:328 = Reset:91 + v_shifted:373 + acc: 46| threshold: 91 S:1 | nindex = 131 | v_prev = 393 | decay = 31129 
V:266 = Reset:91 + v_shifted:311 + acc: 46| threshold: 91 S:1 | nindex = 131 | v_prev = 328 | decay = 31129 
V:207 = Reset:91 + v_shifted:252 + acc: 46| threshold: 91 S:1 | nindex = 131 | v_prev = 266 | decay = 31129
