V:924 = Reset:0 + v_shifted:0 + acc: 924| threshold: 91 S:1 | nindex = 490 | v_prev = 0 | decay = 31129 
V:26477 = Reset:91 + v_shifted:26568 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 27967 | decay = 31129 
V:25061 = Reset:91 + v_shifted:25152 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 26477 | decay = 31129 
V:23716 = Reset:91 + v_shifted:23807 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 25061 | decay = 31129 
V:22438 = Reset:91 + v_shifted:22529 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 23716 | decay = 31129 
V:21224 = Reset:91 + v_shifted:21315 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 22438 | decay = 31129 
V:20071 = Reset:91 + v_shifted:20162 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 21224 | decay = 31129 
V:18976 = Reset:91 + v_shifted:19067 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 20071 | decay = 31129 
V:17935 = Reset:91 + v_shifted:18026 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 18976 | decay = 31129 
V:16946 = Reset:91 + v_shifted:17037 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 17935 | decay = 31129 
V:16007 = Reset:91 + v_shifted:16098 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 16946 | decay = 31129 
V:15115 = Reset:91 + v_shifted:15206 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 16007 | decay = 31129 
V:14267 = Reset:91 + v_shifted:14358 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 15115 | decay = 31129 
V:13462 = Reset:91 + v_shifted:13553 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 14267 | decay = 31129 
V:12697 = Reset:91 + v_shifted:12788 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 13462 | decay = 31129 
V:11970 = Reset:91 + v_shifted:12061 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 12697 | decay = 31129 
V:11280 = Reset:91 + v_shifted:11371 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 11970 | decay = 31129 
V:10624 = Reset:91 + v_shifted:10715 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 11280 | decay = 31129 
V:10001 = Reset:91 + v_shifted:10092 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 10624 | decay = 31129 
V:9409 = Reset:91 + v_shifted:9500 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 10001 | decay = 31129 
V:8847 = Reset:91 + v_shifted:8938 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 9409 | decay = 31129 
V:8313 = Reset:91 + v_shifted:8404 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 8847 | decay = 31129 
V:7806 = Reset:91 + v_shifted:7897 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 8313 | decay = 31129 
V:7324 = Reset:91 + v_shifted:7415 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 7806 | decay = 31129 
V:6866 = Reset:91 + v_shifted:6957 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 7324 | decay = 31129 
V:6431 = Reset:91 + v_shifted:6522 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 6866 | decay = 31129 
V:6018 = Reset:91 + v_shifted:6109 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 6431 | decay = 31129 
V:5625 = Reset:91 + v_shifted:5716 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 6018 | decay = 31129 
V:5252 = Reset:91 + v_shifted:5343 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 5625 | decay = 31129 
V:4898 = Reset:91 + v_shifted:4989 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 5252 | decay = 31129 
V:4562 = Reset:91 + v_shifted:4653 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 4898 | decay = 31129 
V:4242 = Reset:91 + v_shifted:4333 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 4562 | decay = 31129 
V:3938 = Reset:91 + v_shifted:4029 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 4242 | decay = 31129 
V:3650 = Reset:91 + v_shifted:3741 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 3938 | decay = 31129 
V:3376 = Reset:91 + v_shifted:3467 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 3650 | decay = 31129 
V:3116 = Reset:91 + v_shifted:3207 + acc: 0| threshold: 91 S:1 | nindex = 490 | v_prev = 3376 | decay = 31129
